n,algorithm,operation,time
2,map,process,31800
2,map,answer,969100
4,map,process,77200
4,map,answer,843000
8,map,process,117900
8,map,answer,963500
16,map,process,581700
16,map,answer,1135400
32,map,process,2035700
32,map,answer,1222100
64,map,process,11034300
64,map,answer,1272100
128,map,process,85644500
128,map,answer,1653200
256,map,process,806612700
256,map,answer,1427000
512,map,process,5795066900
512,map,answer,1268600
1024,map,process,48885367000
1024,map,answer,1298600
2048,map,process,414384088300
2048,map,answer,2055200
