n,algorithm,operation,time
2,naive,process,500
2,naive,answer,110600
4,naive,process,600
4,naive,answer,182200
8,naive,process,700
8,naive,answer,254500
16,naive,process,700
16,naive,answer,369100
32,naive,process,900
32,naive,answer,581900
64,naive,process,700
64,naive,answer,1016500
128,naive,process,1100
128,naive,answer,1746700
256,naive,process,700
256,naive,answer,3397000
512,naive,process,700
512,naive,answer,6340200
1024,naive,process,500
1024,naive,answer,12942700
2048,naive,process,1200
2048,naive,answer,22289300
4096,naive,process,500
4096,naive,answer,40229700
8192,naive,process,700
8192,naive,answer,79886500
16384,naive,process,600
16384,naive,answer,174933800
32768,naive,process,700
32768,naive,answer,330474800
65536,naive,process,400
65536,naive,answer,655142700
131072,naive,process,1200
131072,naive,answer,1309410600
262144,naive,process,600
262144,naive,answer,2626605900
524288,naive,process,500
524288,naive,answer,5258280800
