n,algorithm,operation,time
2,tree,process,49200
2,tree,answer,660100
4,tree,process,89000
4,tree,answer,748100
8,tree,process,210000
8,tree,answer,941300
16,tree,process,358600
16,tree,answer,1188700
32,tree,process,1035400
32,tree,answer,1240800
64,tree,process,1458400
64,tree,answer,1608500
128,tree,process,4216800
128,tree,answer,1685100
256,tree,process,6149400
256,tree,answer,1341600
512,tree,process,14162100
512,tree,answer,2112100
1024,tree,process,28175000
1024,tree,answer,2696100
2048,tree,process,58590600
2048,tree,answer,3107800
4096,tree,process,132229700
4096,tree,answer,2858300
8192,tree,process,310401300
8192,tree,answer,4803900
16384,tree,process,583391500
16384,tree,answer,4605300
32768,tree,process,1243618000
32768,tree,answer,5311500
65536,tree,process,2657625700
65536,tree,answer,5841100
131072,tree,process,5668727300
131072,tree,answer,5487000
262144,tree,process,12600878300
262144,tree,answer,10791300

