M; linear; binary; exponential 1; exponential 2; ratio 
              2;         47303.4;          260.85;          249.95;          255.04;         1.04361; 
              4;         67898.5;          557.13;          658.11;           530.9;        0.846561; 
              8;         77995.9;         1106.27;         1403.39;          929.96;        0.788284; 
             16;         84724.5;         2258.93;         2788.04;         1509.54;        0.810222; 
             32;         89903.2;         4786.39;          5469.9;         2406.56;        0.875042; 
             64;         90616.3;         9540.22;         10669.4;         3742.51;        0.894166; 
            128;         92531.6;         19378.2;         18693.5;         5675.42;         1.03663; 
            256;          102194;           44770;         29560.7;         10298.2;         1.51451; 
            512;          102681;           96541;         50545.7;         16701.6;         1.90997; 
           1024;          121501;          202969;         96371.9;         28892.5;         2.10611; 
           2048;          195969;          759709;          216792;         49972.2;         3.50433; 
           4096;          224056;     2.30403e+06;          374297;          110621;         6.15562; 
           8192;          387202;     4.58695e+06;          533760;          225460;         8.59366; 
